N,avg_tf
1,0.002469666821828772
2,0.011795902136024475
3,0.027073401995949098
4,0.04825139982312976
5,0.07809784131920121
6,0.11189370367052713
7,0.15285390030354998
8,0.20798676715215456
9,0.2618561716917611
10,0.3121935720003724
11,0.37746238139394944
12,0.44845672497892036
13,0.534514852150096
14,0.6075888073204018
15,0.7155450679971788
16,0.796345941339799
17,0.907835404190943
18,1.0086288198144757
19,1.1404897694974352
20,1.2508736679944075
21,1.3835651381565792
22,1.5187486835069042
23,1.6701216055413777
24,1.8183305061338615
25,1.9867824461774337
26,2.115967558018989
27,2.2872890136471447
28,2.4576749606688586
29,2.645983894173696
